,speaker,segment,repetition,frame,coord,point,pixel,mm
16993,1,s,1,1,y,95,265.1,70.140158
16994,1,s,1,1,y,96,266.97,70.6349226
16995,1,s,1,1,y,97,268.84,71.1296872
16996,1,s,1,1,y,98,270.78,71.6429724
16997,1,s,1,1,y,99,272.73,72.1589034
16998,1,s,1,1,y,100,274.68,72.6748344
16999,1,s,1,2,x,1,183.28,48.4922224
17000,1,s,1,2,x,2,184.68,48.8626344
17001,1,s,1,2,x,3,186.08,49.2330464
17002,1,s,1,2,x,4,187.49,49.6061042
17003,1,s,1,2,x,5,188.78,49.9474124
17004,1,s,1,2,x,6,190.06,50.2860748
17005,1,s,1,2,x,7,191.35,50.627383
17006,1,s,1,2,x,8,192.77,51.0030866
17007,1,s,1,2,x,9,194.21,51.3840818
17008,1,s,1,2,x,10,195.66,51.7677228
17009,1,s,1,2,x,11,197.11,52.1513638
17010,1,s,1,2,x,12,198.57,52.5376506
17011,1,s,1,2,x,13,200.03,52.9239374
17012,1,s,1,2,x,14,201.62,53.3446196
17013,1,s,1,2,x,15,203.29,53.7864682
17014,1,s,1,2,x,16,204.95,54.225671
17015,1,s,1,2,x,17,206.88,54.7363104
17016,1,s,1,2,x,18,209.01,55.2998658
17017,1,s,1,2,x,19,211.13,55.8607754
17018,1,s,1,2,x,20,213.33,56.4428514
17019,1,s,1,2,x,21,215.6,57.043448
17020,1,s,1,2,x,22,217.87,57.6440446
17021,1,s,1,2,x,23,220.28,58.2816824
17022,1,s,1,2,x,24,222.9,58.974882
17023,1,s,1,2,x,25,225.52,59.6680816
17024,1,s,1,2,x,26,228.19,60.3745102
17025,1,s,1,2,x,27,230.98,61.1126884
17026,1,s,1,2,x,28,233.78,61.8535124
17027,1,s,1,2,x,29,236.63,62.6075654
17028,1,s,1,2,x,30,239.78,63.4409924
17029,1,s,1,2,x,31,242.93,64.2744194
17030,1,s,1,2,x,32,246.08,65.1078464
17031,1,s,1,2,x,33,249.36,65.9756688
17032,1,s,1,2,x,34,252.64,66.8434912
17033,1,s,1,2,x,35,255.92,67.7113136
17034,1,s,1,2,x,36,259.3,68.605594
17035,1,s,1,2,x,37,262.68,69.4998744
17036,1,s,1,2,x,38,266.06,70.3941548
17037,1,s,1,2,x,39,269.53,71.3122474
17038,1,s,1,2,x,40,273.02,72.2356316
17039,1,s,1,2,x,41,276.5,73.15637
17040,1,s,1,2,x,42,280.09,74.1062122
17041,1,s,1,2,x,43,283.7,75.061346
17042,1,s,1,2,x,44,287.31,76.0164798
17043,1,s,1,2,x,45,290.93,76.9742594
17044,1,s,1,2,x,46,294.56,77.9346848
17045,1,s,1,2,x,47,298.19,78.8951102
17046,1,s,1,2,x,48,301.88,79.8714104
17047,1,s,1,2,x,49,305.6,80.855648
17048,1,s,1,2,x,50,309.31,81.8372398
17049,1,s,1,2,x,51,313.04,82.8241232
17050,1,s,1,2,x,52,316.74,83.8030692
17051,1,s,1,2,x,53,320.45,84.784661
17052,1,s,1,2,x,54,324.12,85.7556696
17053,1,s,1,2,x,55,327.72,86.7081576
17054,1,s,1,2,x,56,331.31,87.6579998
17055,1,s,1,2,x,57,334.89,88.6051962
17056,1,s,1,2,x,58,338.43,89.5418094
17057,1,s,1,2,x,59,341.96,90.4757768
17058,1,s,1,2,x,60,345.47,91.4044526
17059,1,s,1,2,x,61,348.87,92.3040246
17060,1,s,1,2,x,62,352.26,93.2009508
17061,1,s,1,2,x,63,355.67,94.1031686
17062,1,s,1,2,x,64,359.12,95.0159696
17063,1,s,1,2,x,65,362.56,95.9261248
17064,1,s,1,2,x,66,366.01,96.8389258
17065,1,s,1,2,x,67,369.45,97.749081
17066,1,s,1,2,x,68,372.89,98.6592362
17067,1,s,1,2,x,69,376.33,99.5693914
17068,1,s,1,2,x,70,379.71,100.4636718
17069,1,s,1,2,x,71,383.09,101.3579522
17070,1,s,1,2,x,72,386.46,102.2495868
17071,1,s,1,2,x,73,389.88,103.1544504
17072,1,s,1,2,x,74,393.31,104.0619598
17073,1,s,1,2,x,75,396.74,104.9694692
17074,1,s,1,2,x,76,400.19,105.8822702
17075,1,s,1,2,x,77,403.65,106.797717
17076,1,s,1,2,x,78,407.1,107.710518
17077,1,s,1,2,x,79,410.49,108.6074442
17078,1,s,1,2,x,80,413.83,109.4911414
17079,1,s,1,2,x,81,417.18,110.3774844
17080,1,s,1,2,x,82,420.52,111.2611816
17081,1,s,1,2,x,83,423.87,112.1475246
17082,1,s,1,2,x,84,427.21,113.0312218
17083,1,s,1,2,x,85,430.55,113.914919
17084,1,s,1,2,x,86,433.89,114.7986162
17085,1,s,1,2,x,87,437.22,115.6796676
17086,1,s,1,2,x,88,440.53,116.5554274
17087,1,s,1,2,x,89,443.78,117.4153124
17088,1,s,1,2,x,90,447.02,118.2725516
17089,1,s,1,2,x,91,450.22,119.1192076
17090,1,s,1,2,x,92,453.28,119.9288224
17091,1,s,1,2,x,93,456.34,120.7384372
17092,1,s,1,2,x,94,459.4,121.548052
17093,1,s,1,2,x,95,462.47,122.3603126
17094,1,s,1,2,x,96,465.55,123.175219
17095,1,s,1,2,x,97,468.63,123.9901254
17096,1,s,1,2,x,98,471.8,124.828844
17097,1,s,1,2,x,99,474.97,125.6675626
17098,1,s,1,2,x,100,478.13,126.5036354
17099,1,s,1,2,y,1,310.79,82.2288182
17100,1,s,1,2,y,2,307.34,81.3160172
17101,1,s,1,2,y,3,303.89,80.4032162
17102,1,s,1,2,y,4,300.45,79.493061
17103,1,s,1,2,y,5,296.96,78.5696768
17104,1,s,1,2,y,6,293.46,77.6436468
17105,1,s,1,2,y,7,289.97,76.7202626
17106,1,s,1,2,y,8,286.53,75.8101074
17107,1,s,1,2,y,9,283.1,74.902598
17108,1,s,1,2,y,10,279.67,73.9950886
17109,1,s,1,2,y,11,276.24,73.0875792
17110,1,s,1,2,y,12,272.82,72.1827156
17111,1,s,1,2,y,13,269.39,71.2752062
17112,1,s,1,2,y,14,266.03,70.3862174
17113,1,s,1,2,y,15,262.7,69.505166
17114,1,s,1,2,y,16,259.37,68.6241146
17115,1,s,1,2,y,17,256.18,67.7801044
17116,1,s,1,2,y,18,253.13,66.9731354
17117,1,s,1,2,y,19,250.07,66.1635206
17118,1,s,1,2,y,20,247.07,65.3697806
17119,1,s,1,2,y,21,244.12,64.5892696
17120,1,s,1,2,y,22,241.18,63.8114044
17121,1,s,1,2,y,23,238.33,63.0573514
17122,1,s,1,2,y,24,235.69,62.3588602
17123,1,s,1,2,y,25,233.05,61.660369
17124,1,s,1,2,y,26,230.45,60.972461
17125,1,s,1,2,y,27,227.99,60.3215942
17126,1,s,1,2,y,28,225.53,59.6707274
17127,1,s,1,2,y,29,223.15,59.041027
17128,1,s,1,2,y,30,221.16,58.5145128
17129,1,s,1,2,y,31,219.18,57.9906444
17130,1,s,1,2,y,32,217.2,57.466776
17131,1,s,1,2,y,33,215.44,57.0011152
17132,1,s,1,2,y,34,213.68,56.5354544
17133,1,s,1,2,y,35,211.91,56.0671478
17134,1,s,1,2,y,36,210.35,55.654403
17135,1,s,1,2,y,37,208.79,55.2416582
17136,1,s,1,2,y,38,207.24,54.8315592
17137,1,s,1,2,y,39,205.89,54.4743762
17138,1,s,1,2,y,40,204.59,54.1304222
17139,1,s,1,2,y,41,203.28,53.7838224
17140,1,s,1,2,y,42,202.28,53.5192424
17141,1,s,1,2,y,43,201.38,53.2811204
17142,1,s,1,2,y,44,200.47,53.0403526
17143,1,s,1,2,y,45,199.62,52.8154596
17144,1,s,1,2,y,46,198.8,52.598504
17145,1,s,1,2,y,47,197.98,52.3815484
17146,1,s,1,2,y,48,197.51,52.2571958
17147,1,s,1,2,y,49,197.28,52.1963424
17148,1,s,1,2,y,50,197.05,52.135489
17149,1,s,1,2,y,51,197.11,52.1513638
17150,1,s,1,2,y,52,197.47,52.2466126
17151,1,s,1,2,y,53,197.82,52.3392156
17152,1,s,1,2,y,54,198.42,52.4979636
17153,1,s,1,2,y,55,199.37,52.7493146
17154,1,s,1,2,y,56,200.34,53.0059572
17155,1,s,1,2,y,57,201.36,53.2758288
17156,1,s,1,2,y,58,202.52,53.5827416
17157,1,s,1,2,y,59,203.69,53.8923002
17158,1,s,1,2,y,60,204.94,54.2230252
17159,1,s,1,2,y,61,206.46,54.6251868
17160,1,s,1,2,y,62,207.98,55.0273484
17161,1,s,1,2,y,63,209.48,55.4242184
17162,1,s,1,2,y,64,210.89,55.7972762
17163,1,s,1,2,y,65,212.29,56.1676882
17164,1,s,1,2,y,66,213.7,56.540746
17165,1,s,1,2,y,67,215.11,56.9138038
17166,1,s,1,2,y,68,216.53,57.2895074
17167,1,s,1,2,y,69,217.95,57.665211
17168,1,s,1,2,y,70,219.51,58.0779558
17169,1,s,1,2,y,71,221.07,58.4907006
17170,1,s,1,2,y,72,222.65,58.908737
17171,1,s,1,2,y,73,224.12,59.2976696
17172,1,s,1,2,y,74,225.57,59.6813106
17173,1,s,1,2,y,75,227.01,60.0623058
17174,1,s,1,2,y,76,228.41,60.4327178
17175,1,s,1,2,y,77,229.79,60.7978382
