speaker,segment,repetition,frame,coord,point,pixel
1,s,1,1,y,64,213
1,s,1,1,y,65,214.46
1,s,1,1,y,66,215.93
1,s,1,1,y,67,217.4
1,s,1,1,y,68,218.84
1,s,1,1,y,69,220.29
1,s,1,1,y,70,221.74
1,s,1,1,y,71,223.43
1,s,1,1,y,72,225.11
1,s,1,1,y,73,226.8
1,s,1,1,y,74,228.39
1,s,1,1,y,75,229.97
1,s,1,1,y,76,231.55
1,s,1,1,y,77,233.01
1,s,1,1,y,78,234.47
1,s,1,1,y,79,235.93
1,s,1,1,y,80,237.6
1,s,1,1,y,81,239.27
1,s,1,1,y,82,240.95
1,s,1,1,y,83,242.63
1,s,1,1,y,84,244.31
1,s,1,1,y,85,245.99
1,s,1,1,y,86,247.71
1,s,1,1,y,87,249.43
1,s,1,1,y,88,251.14
1,s,1,1,y,89,253.15
1,s,1,1,y,90,255.15
1,s,1,1,y,91,257.16
1,s,1,1,y,92,259.19
1,s,1,1,y,93,261.21
1,s,1,1,y,94,263.24
1,s,1,1,y,95,265.1
1,s,1,1,y,96,266.97
1,s,1,1,y,97,268.84
1,s,1,1,y,98,270.78
1,s,1,1,y,99,272.73
1,s,1,1,y,100,274.68
1,s,1,2,x,1,183.28
1,s,1,2,x,2,184.68
1,s,1,2,x,3,186.08
1,s,1,2,x,4,187.49
1,s,1,2,x,5,188.78
1,s,1,2,x,6,190.06
1,s,1,2,x,7,191.35
1,s,1,2,x,8,192.77
1,s,1,2,x,9,194.21
1,s,1,2,x,10,195.66
1,s,1,2,x,11,197.11
1,s,1,2,x,12,198.57
1,s,1,2,x,13,200.03
1,s,1,2,x,14,201.62
1,s,1,2,x,15,203.29
1,s,1,2,x,16,204.95
1,s,1,2,x,17,206.88
1,s,1,2,x,18,209.01
1,s,1,2,x,19,211.13
1,s,1,2,x,20,213.33
1,s,1,2,x,21,215.6
1,s,1,2,x,22,217.87
1,s,1,2,x,23,220.28
1,s,1,2,x,24,222.9
1,s,1,2,x,25,225.52
1,s,1,2,x,26,228.19
1,s,1,2,x,27,230.98
1,s,1,2,x,28,233.78
1,s,1,2,x,29,236.63
1,s,1,2,x,30,239.78
1,s,1,2,x,31,242.93
1,s,1,2,x,32,246.08
1,s,1,2,x,33,249.36
1,s,1,2,x,34,252.64
1,s,1,2,x,35,255.92
1,s,1,2,x,36,259.3
1,s,1,2,x,37,262.68
1,s,1,2,x,38,266.06
1,s,1,2,x,39,269.53
1,s,1,2,x,40,273.02
1,s,1,2,x,41,276.5
1,s,1,2,x,42,280.09
1,s,1,2,x,43,283.7
1,s,1,2,x,44,287.31
1,s,1,2,x,45,290.93
1,s,1,2,x,46,294.56
1,s,1,2,x,47,298.19
1,s,1,2,x,48,301.88
1,s,1,2,x,49,305.6
1,s,1,2,x,50,309.31
1,s,1,2,x,51,313.04
1,s,1,2,x,52,316.74
1,s,1,2,x,53,320.45
1,s,1,2,x,54,324.12
1,s,1,2,x,55,327.72
1,s,1,2,x,56,331.31
1,s,1,2,x,57,334.89
1,s,1,2,x,58,338.43
1,s,1,2,x,59,341.96
1,s,1,2,x,60,345.47
1,s,1,2,x,61,348.87
1,s,1,2,x,62,352.26
1,s,1,2,x,63,355.67
1,s,1,2,x,64,359.12
1,s,1,2,x,65,362.56
1,s,1,2,x,66,366.01
1,s,1,2,x,67,369.45
1,s,1,2,x,68,372.89
1,s,1,2,x,69,376.33
1,s,1,2,x,70,379.71
1,s,1,2,x,71,383.09
1,s,1,2,x,72,386.46
1,s,1,2,x,73,389.88
1,s,1,2,x,74,393.31
1,s,1,2,x,75,396.74
1,s,1,2,x,76,400.19
1,s,1,2,x,77,403.65
1,s,1,2,x,78,407.1
1,s,1,2,x,79,410.49
1,s,1,2,x,80,413.83
1,s,1,2,x,81,417.18
1,s,1,2,x,82,420.52
1,s,1,2,x,83,423.87
1,s,1,2,x,84,427.21
1,s,1,2,x,85,430.55
1,s,1,2,x,86,433.89
1,s,1,2,x,87,437.22
1,s,1,2,x,88,440.53
1,s,1,2,x,89,443.78
1,s,1,2,x,90,447.02
1,s,1,2,x,91,450.22
1,s,1,2,x,92,453.28
1,s,1,2,x,93,456.34
1,s,1,2,x,94,459.4
1,s,1,2,x,95,462.47
1,s,1,2,x,96,465.55
1,s,1,2,x,97,468.63
1,s,1,2,x,98,471.8
1,s,1,2,x,99,474.97
1,s,1,2,x,100,478.13
1,s,1,2,y,1,310.79
1,s,1,2,y,2,307.34
1,s,1,2,y,3,303.89
1,s,1,2,y,4,300.45
1,s,1,2,y,5,296.96
1,s,1,2,y,6,293.46
1,s,1,2,y,7,289.97
1,s,1,2,y,8,286.53
1,s,1,2,y,9,283.1
1,s,1,2,y,10,279.67
1,s,1,2,y,11,276.24
1,s,1,2,y,12,272.82
1,s,1,2,y,13,269.39
1,s,1,2,y,14,266.03
1,s,1,2,y,15,262.7
1,s,1,2,y,16,259.37
1,s,1,2,y,17,256.18
1,s,1,2,y,18,253.13
1,s,1,2,y,19,250.07
1,s,1,2,y,20,247.07
1,s,1,2,y,21,244.12
1,s,1,2,y,22,241.18
1,s,1,2,y,23,238.33
1,s,1,2,y,24,235.69
1,s,1,2,y,25,233.05
1,s,1,2,y,26,230.45
1,s,1,2,y,27,227.99
1,s,1,2,y,28,225.53
1,s,1,2,y,29,223.15
1,s,1,2,y,30,221.16
1,s,1,2,y,31,219.18
1,s,1,2,y,32,217.2
1,s,1,2,y,33,215.44
1,s,1,2,y,34,213.68
1,s,1,2,y,35,211.91
1,s,1,2,y,36,210.35
1,s,1,2,y,37,208.79
1,s,1,2,y,38,207.24
1,s,1,2,y,39,205.89
1,s,1,2,y,40,204.59
1,s,1,2,y,41,203.28
1,s,1,2,y,42,202.28
1,s,1,2,y,43,201.38
1,s,1,2,y,44,200.47
1,s,1,2,y,45,199.62
1,s,1,2,y,46,198.8
1,s,1,2,y,47,197.98
1,s,1,2,y,48,197.51
1,s,1,2,y,49,197.28
1,s,1,2,y,50,197.05
1,s,1,2,y,51,197.11
1,s,1,2,y,52,197.47
1,s,1,2,y,53,197.82
1,s,1,2,y,54,198.42
1,s,1,2,y,55,199.37
1,s,1,2,y,56,200.34
1,s,1,2,y,57,201.36
1,s,1,2,y,58,202.52
1,s,1,2,y,59,203.69
1,s,1,2,y,60,204.94
1,s,1,2,y,61,206.46
1,s,1,2,y,62,207.98
1,s,1,2,y,63,209.48
1,s,1,2,y,64,210.89
1,s,1,2,y,65,212.29
1,s,1,2,y,66,213.7
1,s,1,2,y,67,215.11
1,s,1,2,y,68,216.53
1,s,1,2,y,69,217.95
1,s,1,2,y,70,219.51
1,s,1,2,y,71,221.07
1,s,1,2,y,72,222.65
1,s,1,2,y,73,224.12
1,s,1,2,y,74,225.57
1,s,1,2,y,75,227.01
1,s,1,2,y,76,228.41
